country,animal,element,year,value
Australia,Cattle,Export Quantity,1996,1161930
Australia,Cattle,Export Quantity,1997,1530584
Australia,Cattle,Export Quantity,1998,1003630
Australia,Cattle,Export Quantity,1999,1387184
Australia,Sheep,Export Quantity,1973,1134730
Australia,Sheep,Export Quantity,1974,1060464
Australia,Sheep,Export Quantity,1975,1448935
Australia,Sheep,Export Quantity,1976,1844856
Australia,Sheep,Export Quantity,1977,3388203
Australia,Sheep,Export Quantity,1978,4123702
Australia,Sheep,Export Quantity,1979,3864755
Australia,Sheep,Export Quantity,1980,6161946
Australia,Sheep,Export Quantity,1981,5740378
Australia,Sheep,Export Quantity,1982,6009382
Australia,Sheep,Export Quantity,1983,7003785
Australia,Sheep,Export Quantity,1984,6348571
Australia,Sheep,Export Quantity,1985,6256188
Australia,Sheep,Export Quantity,1986,6368494
Australia,Sheep,Export Quantity,1987,7658000
Australia,Sheep,Export Quantity,1988,6881156
Australia,Sheep,Export Quantity,1989,6374347
Australia,Sheep,Export Quantity,1990,4334026
Australia,Sheep,Export Quantity,1991,3308076
Australia,Sheep,Export Quantity,1992,4453720
Australia,Sheep,Export Quantity,1993,5117659
Australia,Sheep,Export Quantity,1994,5499000
Australia,Sheep,Export Quantity,1995,5801725
Australia,Sheep,Export Quantity,1996,5820840
Australia,Sheep,Export Quantity,1997,5267168
Australia,Sheep,Export Quantity,1998,5117443
Australia,Sheep,Export Quantity,1999,5086442
Australia,Sheep,Export Quantity,2000,5421408
Australia,Sheep,Export Quantity,2001,6818250
Australia,Sheep,Export Quantity,2002,6076802
Australia,Sheep,Export Quantity,2003,4742432
Australia,Sheep,Export Quantity,2004,3397140
Australia,Sheep,Export Quantity,2005,4184920
Australia,Sheep,Export Quantity,2006,4185538
Australia,Sheep,Export Quantity,2007,3773029
Australia,Sheep,Export Quantity,2008,4214989
Australia,Sheep,Export Quantity,2009,3567609
Australia,Sheep,Export Quantity,2010,2978154
Australia,Sheep,Export Quantity,2011,2308449
Australia,Sheep,Export Quantity,2012,2279622
Australia,Sheep,Export Quantity,2013,1973418
Belgium,Pigs,Import Quantity,2007,1182083
Belgium,Pigs,Import Quantity,2008,1235613
Belgium,Pigs,Import Quantity,2009,1451219
Belgium,Pigs,Import Quantity,2010,1399383
Belgium,Pigs,Import Quantity,2011,1280443
Belgium,Pigs,Import Quantity,2012,1219796
Belgium,Pigs,Import Quantity,2013,1152767
Belgium-Luxembourg,Pigs,Import Quantity,1981,1002733
Belgium-Luxembourg,Pigs,Import Quantity,1982,1052074
Belgium-Luxembourg,Pigs,Import Quantity,1983,1104918
Belgium-Luxembourg,Pigs,Import Quantity,1984,1332649
Belgium-Luxembourg,Pigs,Import Quantity,1985,1159991
Belgium-Luxembourg,Pigs,Import Quantity,1986,1638019
Belgium-Luxembourg,Pigs,Import Quantity,1987,1805307
Belgium-Luxembourg,Pigs,Import Quantity,1988,1761014
Belgium-Luxembourg,Pigs,Import Quantity,1989,1805809
Belgium-Luxembourg,Pigs,Import Quantity,1990,1615785
Belgium-Luxembourg,Pigs,Import Quantity,1991,2042013
Belgium-Luxembourg,Pigs,Import Quantity,1992,1919420
Belgium-Luxembourg,Pigs,Import Quantity,1993,1721932
Belgium-Luxembourg,Pigs,Import Quantity,1994,1651049
Belgium-Luxembourg,Pigs,Import Quantity,1995,1473099
Belgium-Luxembourg,Pigs,Import Quantity,1996,1344623
Belgium-Luxembourg,Pigs,Export Quantity,1970,1097130
Belgium-Luxembourg,Pigs,Export Quantity,1971,1231645
Belgium-Luxembourg,Pigs,Export Quantity,1972,1243261
Belgium-Luxembourg,Pigs,Export Quantity,1973,1133461
Belgium-Luxembourg,Pigs,Export Quantity,1974,1084011
Belgium-Luxembourg,Pigs,Export Quantity,1975,1038934
Belgium-Luxembourg,Pigs,Export Quantity,1976,1097154
Belgium-Luxembourg,Pigs,Export Quantity,1977,1222177
Belgium-Luxembourg,Pigs,Export Quantity,1978,1164269
Belgium-Luxembourg,Pigs,Export Quantity,1979,1029238
Belgium-Luxembourg,Pigs,Export Quantity,1988,1007420
Belgium-Luxembourg,Pigs,Export Quantity,1989,1013968
Belgium-Luxembourg,Pigs,Export Quantity,1999,1079092
Bulgaria,Sheep,Export Quantity,1966,1005068
Bulgaria,Sheep,Export Quantity,1978,1042465
Bulgaria,Sheep,Export Quantity,1979,1454242
Bulgaria,Sheep,Export Quantity,1980,1533887
